5/11 12:24:47.240  ---- Startup ----
5/11 12:25:03.158  ---- ClientAvailableHotfixes ----
5/11 12:25:03.158  ---- UserClientHotfixRequest ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Cache ----
5/11 12:25:03.274  ---- ApplyingHotfixes from Server ----
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16674 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16675 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16676 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16677 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16678 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16682 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16683 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16684 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16685 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16692 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16693 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16694 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16695 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16696 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16697 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16698 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16699 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16700 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16701 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16702 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16703 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16707 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16711 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16712 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16717 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16722 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16723 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16725 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16727 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16728 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16729 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16730 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16731 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16732 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16733 valid
5/11 12:25:03.274  	63283 Table SpellVisualMissile RecID 16734 valid
