9/17 01:16:54.800  ---- Startup ----
9/17 01:17:06.469  ---- ClientAvailableHotfixes ----
9/17 01:17:06.469  ---- UserClientHotfixRequest ----
9/17 01:17:06.469  ---- ApplyingHotfixes from Cache ----
9/17 01:17:06.469  	70136 Table SpellPowerDifficulty RecID 234095 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table Spell RecID 61306 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellName RecID 61306 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCraftUI RecID 61306 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table Spell RecID 61308 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellName RecID 61308 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCraftUI RecID 61308 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table Spell RecID 61311 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellName RecID 61311 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCraftUI RecID 61311 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table Spell RecID 61312 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellName RecID 61312 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCraftUI RecID 61312 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table Spell RecID 69757 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellName RecID 69757 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellCraftUI RecID 69757 VALIDATION_RESULT_VALID
9/17 01:17:06.469  	70137 Table SpellAuraOptions RecID 200982 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellAuraOptions RecID 201039 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellAuraOptions RecID 201094 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellAuraOptions RecID 205519 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellAuraOptions RecID 208743 VALIDATION_RESULT_DELETE
9/17 01:17:06.469  	70137 Table SpellCategories RecID 144808 VALIDATION_RESULT_VALID
